provincia;municipio;estacion;magnitud;punto_muestreo;ano;mes;dia;h01;v01;h02;v02;h03;v03;h04;v04;h05;v05;h06;v06;h07;v07;h08;v08;h09;v09;h10;v10;h11;v11;h12;v12;h13;v13;h14;v14;h15;v15;h16;v16;h17;v17;h18;v18;h19;v19;h20;v20;h21;v21;h22;v22;h23;v23;h24;v24
28;171;1;10;28171001_10_49;2022;9;1;8;V;8;V;11;V;13;V;13;V;12;V;12;V;14;V;12;V;13;V;12;V;10;V;11;V;9;V;9;V;8;V;14;V;14;V;10;V;8;V;12;V;13;V;12;V;17;V
28;171;1;12;28171001_12_8;2022;9;1;5;V;5;V;7;V;6;V;7;V;11;V;10;V;8;V;6;V;5;V;4;V;6;V;4;V;3;V;4;V;4;V;4;V;3;V;4;V;5;V;4;V;5;V;5;V;5;V
28;171;1;14;28171001_14_6;2022;9;1;119;V;112;V;99;V;89;V;79;V;71;V;76;V;91;V;120;V;145;V;134;V;133;V;125;V;120;V;119;V;128;V;130;V;130;V;131;V;130;V;126;V;120;V;113;V;111;V
28;180;1;7;28180001_7_8;2022;9;1;1;V;1;V;1;V;1;V;1;V;5;V;10;V;2;V;;N;;N;1;V;1;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;180;1;8;28180001_8_8;2022;9;1;10;V;10;V;15;V;16;V;33;V;47;V;50;V;16;V;;N;;N;5;V;6;V;5;V;5;V;4;V;5;V;6;V;7;V;11;V;15;V;7;V;6;V;5;V;4;V
28;180;1;9;28180001_9_49;2022;9;1;11;V;14;V;15;V;12;V;9;V;10;V;13;V;9;V;;N;;N;8;V;4;V;3;V;6;V;4;V;6;V;5;V;8;V;11;V;13;V;13;V;13;V;10;V;12;V
28;180;1;12;28180001_12_8;2022;9;1;12;V;12;V;17;V;18;V;35;V;55;V;65;V;19;V;10;V;;N;7;V;8;V;7;V;8;V;6;V;7;V;9;V;9;V;13;V;17;V;9;V;8;V;7;V;6;V
28;180;1;14;28180001_14_6;2022;9;1;86;V;85;V;71;V;65;V;47;V;34;V;31;V;62;V;;N;;N;110;V;110;V;109;V;107;V;111;V;117;V;114;V;110;V;96;V;83;V;81;V;80;V;91;V;94;V
28;45;2;6;28045002_6_48;2022;9;1;0.6;V;0.6;V;0.6;V;0.6;V;0.6;V;0.6;V;0.6;V;0.7;V;0.6;V;0.9;V;1.1;V;0.8;V;0.7;V;0.7;V;0.7;V;0.7;V;0.9;V;0.7;V;0.7;V;0.7;V;0.7;V;0.6;V;0.6;V;0.6;V
28;45;2;7;28045002_7_8;2022;9;1;1;V;1;V;1;V;2;V;1;V;1;V;13;V;17;V;6;V;5;V;3;V;3;V;2;V;1;V;3;V;1;V;2;V;1;V;2;V;2;V;5;V;2;V;2;V;1;V
28;45;2;8;28045002_8_8;2022;9;1;9;V;11;V;8;V;14;V;11;V;20;V;58;V;52;V;24;V;19;V;12;V;12;V;10;V;7;V;8;V;8;V;8;V;9;V;14;V;16;V;26;V;13;V;12;V;9;V
28;45;2;10;28045002_10_49;2022;9;1;6;V;13;V;16;V;12;V;11;V;13;V;18;V;24;V;27;V;21;V;17;V;14;V;13;V;9;V;7;V;8;V;14;V;11;V;9;V;12;V;14;V;16;V;13;V;10;V
28;45;2;12;28045002_12_8;2022;9;1;11;V;13;V;10;V;17;V;13;V;22;V;78;V;77;V;32;V;27;V;16;V;16;V;14;V;9;V;13;V;10;V;11;V;11;V;17;V;20;V;33;V;16;V;15;V;11;V
28;45;2;14;28045002_14_6;2022;9;1;103;V;91;V;94;V;95;V;103;V;91;V;58;V;61;V;99;V;112;V;126;V;123;V;130;V;117;V;107;V;110;V;103;V;101;V;99;V;91;V;84;V;93;V;93;V;91;V
28;47;2;1;28047002_1_38;2022;9;1;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V
28;47;2;7;28047002_7_8;2022;9;1;1;V;1;V;1;V;1;V;2;V;21;V;56;V;32;V;4;V;1;V;10;V;7;V;2;V;4;V;14;V;14;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V
28;47;2;8;28047002_8_8;2022;9;1;6;V;8;V;15;V;20;V;52;V;79;V;88;V;71;V;29;V;12;V;23;V;20;V;9;V;13;V;27;V;26;V;12;V;13;V;19;V;35;V;24;V;13;V;8;V;6;V
28;47;2;9;28047002_9_49;2022;9;1;9;V;10;V;9;V;9;V;7;V;7;V;8;V;10;V;12;V;13;V;10;V;8;V;8;V;6;V;8;V;18;V;21;V;17;V;12;V;8;V;7;V;7;V;6;V;5;V
28;47;2;12;28047002_12_8;2022;9;1;8;V;10;V;17;V;22;V;54;V;110;V;173;V;121;V;35;V;14;V;38;V;31;V;12;V;19;V;47;V;47;V;15;V;16;V;21;V;37;V;26;V;15;V;10;V;8;V
28;47;2;14;28047002_14_6;2022;9;1;103;V;97;V;79;V;69;V;36;V;11;V;8;V;29;V;75;V;102;V;99;V;104;V;110;V;98;V;80;V;73;V;86;V;89;V;88;V;72;V;80;V;87;V;92;V;86;V
28;47;2;20;28047002_20_59;2022;9;1;0.2;V;0.3;V;0.4;V;0.5;V;0.9;V;1.3;V;2.6;V;1.8;V;2.3;V;0.7;V;0.4;V;0.4;V;0.5;V;0.3;V;0.3;V;0.9;V;0.7;V;0.7;V;0.7;V;0.9;V;0.7;V;0.4;V;0.4;V;0.3;V
